id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;wilayah_uptd;kategori_jalan;kondisi_jalan;panjang_ruas_jalan;satuan;tahun
59;32;JAWA BARAT;3215;KABUPATEN KARAWANG;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN III;TIDAK MANTAP;RUSAK RINGAN;7.89;KILOMETER;2018
60;32;JAWA BARAT;3215;KABUPATEN KARAWANG;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN III;TIDAK MANTAP;RUSAK BERAT;0.0;KILOMETER;2018
61;32;JAWA BARAT;3216;KABUPATEN BEKASI;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I;MANTAP;BAIK;29.33;KILOMETER;2018
62;32;JAWA BARAT;3216;KABUPATEN BEKASI;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I;MANTAP;SEDANG;2.2;KILOMETER;2018
63;32;JAWA BARAT;3216;KABUPATEN BEKASI;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I;TIDAK MANTAP;RUSAK RINGAN;0.0;KILOMETER;2018
64;32;JAWA BARAT;3216;KABUPATEN BEKASI;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN I;TIDAK MANTAP;RUSAK BERAT;0.0;KILOMETER;2018
65;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN III;MANTAP;BAIK;30.47;KILOMETER;2018
66;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN III;MANTAP;SEDANG;40.16;KILOMETER;2018
67;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN III;TIDAK MANTAP;RUSAK RINGAN;2.54;KILOMETER;2018
68;32;JAWA BARAT;3217;KABUPATEN BANDUNG BARAT;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN III;TIDAK MANTAP;RUSAK BERAT;0.0;KILOMETER;2018
69;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V;MANTAP;BAIK;4.55;KILOMETER;2018
70;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;UPTD PENGELOLAAN JALAN DAN JEMBATAN WILAYAH PELAYANAN V;MANTAP;SEDANG;2.95;KILOMETER;2018
